branch from FxFpPlaceMacros,tb_branch.csh $tile $runDir $refDir $target $params $tune $tag $table,1,start run,support quoting mail,"Hi AI,
      Could you branch from FxPlace for df_rpt_6_t?
CCD_MAX_PREPONE = 40
CCD_MAX_POSTPONE    = 40
CCD_MAX_PREPONE_PD  = 40
CCD_MAX_POSTPONE_PD = 40",simon1.chen@amd.com
branch from FxFpPlaceMacros with following params,tb_branch.csh $tile $runDir $refDir $target $params $tune $tag $table,1,start run,support quoting mail,,
TileBuilderBranch  from FxFpPlaceMacros with following params,tb_branch.csh $tile $runDir $refDir $target $params $tune $tag $table,1,start run,support quoting mail,,
TileBuilderBranch  from FxFpPlaceMacros,tb_branch.csh $tile $runDir $refDir $target $params $tune $tag $table,1,start run,support quoting mail,,
check your log logs/FxFpPlaceMacros.log.gz,check_log.csh $tile $runDir $refDir $file $tag,2,analysis,,,simon1.chen@amd.com
please open data/setup.nlib to check if you take this update correctly .,# open nlib,3,update,,,simon1.chen@amd.com
Please check your log . make sure your use correct lib.,# check log,4,analysis,,,simon1.chen@amd.com
please sync flow to get this update,sync.csh $tile $runDir $file $tag,5,update,,,simon1.chen@amd.com
what is the tile status for df_tcdxa_t?,report_tileStatus.csh $tile $runDir $refDir $tag,6,report,support quoting mail,,simon1.chen@amd.com
what is the status for df_tcdxa_t?,report_tileStatus.csh $tile $runDir $refDir $tag,6,report,support quoting mail,,
could you report the timing for df_tcdxa_t?,report_timingStatus.csh $tile $runDir $refDir $tag,7,report,support quoting mail,,
what is the timing status for df_tcdxa_t?,report_timingStatus.csh $tile $runDir $refDir $tag,7,report,support quoting mail,"Hi AI,
what is the timing status for df_tcdxi_t?",simon1.chen@amd.com
where is the run dir for df_tcdxa_t?,report_runDir.csh $tile $runDir  $tag,8,report,,,simon1.chen@amd.com
where can I find the run dir for df_tcdxa_t?,report_runDir.csh $tile $runDir  $tag,8,report,,,
could you send the run dir?,report_runDir.csh $tile $runDir  $tag,8,report,,,simon1.chen@amd.com
could you fix the congestion issue for df_tcdxa_t?,fix_congestion.csh $tile $runDir $refDir $tag,9,fix,support quoting mail,,simon1.chen@amd.com
could you fix the timing issue for df_tcdxa_t?,fix_timing.csh $tile $runDir $refDir $tag,10,fix,,,simon1.chen@amd.com
could you clean the drc violation for df_tcdxa_t?,fix_drc.csh $tile $runDir $refDir $tag,11,fix,,,simon1.chen@amd.com
could you start a new run for df_tcdxa_t?,start_new_run.csh $project $tile $runDir $disk  $params $tune $tag $table $refDir,12,start run,,"Hi AI,
      Could you start a new run for df_tcdxb_t with following params?
NICKNAME    = test 
TILES_TO_RUN    = df_tcdxb_t
TILEBUILDER_FREEZEFLOWRELEASE   = NAVI44_FLOW_NLCp5_Flow
TILEBUILDER_FREEZEDATARELEASE   = NAVI44_FLOW_NLCp5_Data
TILEBUILDER_FREEZESTACKDATARELEASE  = NAVI44_CFLOW_Data
TILEBUILDER_SEPARATE_STACK_PARAMS_LABEL = NAVI44_CFLOW_Data
TILEBUILDER_SEPARATE_STACK_PARAMS_TREE  = soc_pd_n5
TILEBUILDER_SEPARATE_STACK_PARAMS   = 1
TAPEOUT = a0
FAMILY  = supra
PERSONALITY = placenroute
STACK   = soc_pd
TECHNO_NAME = N5
NODE_LIST   = N5
STD_CELL_LIB_NAME   = tsmc210n4p
PROJECT = navi44
FCB_BLOCK_TYPE  = 
CHIP_RELEASE    = rel_NLCp5
FLOORPLAN_POINTER_PD    = fp_01
FEI_POINTER = 0000
CHIP_TILENAME   = CHIP
LIB_RELEASE_PD  = lib_Cp5
PLACE_MAX_UTIL  = 0.75
IC_MAX_PLACEMENT_DENSITY    = 0.6
PLACE_AUTO_DENSITY  = 0
CCD_MAX_PREPONE = 50
CCD_MAX_POSTPONE    = 50
CCD_MAX_PREPONE_PD  = 50
CCD_MAX_POSTPONE_PD = 50
PLACE_OPTIMIZATION_SEQUENCE = SEPARATEPLACE_SUPEREFFORT
PLACE_SKIP_MAGNET_PLACEMENT = 1
TILEBUILDER_STACKTUNETREE_TOSYNC    = soc_pd_n5
TUNE_SEPARATE_STACK = 1",simon1.chen@amd.com
could you start a new run with following params for df_tcdxa_t?,start_new_run.csh $project $tile $runDir $disk  $params $tune $tag $table $refDir,12,start run,,# you can insert table to specify different params for different runs,
could you start a new TB for df_tcdxa_t?,start_new_run.csh $project $tile $runDir $disk  $params $tune $tag $table $refDir,,,,,
could you start a run  with following params for df_tcdxi_t?,start_run.csh $project $tile $runDir $disk  $params $tune $tag $table $refDir,13,start run,,,
could you start a run for df_tcdxi_t?,start_run.csh $project $tile $runDir $disk  $params $tune $tag $table $refDir,13,start run,,,
could you start a new run for df_tcdxa_t? You can refer to,start_run.csh $project $tile $runDir $disk  $params $tune $tag $table $refDir,13,start run,,,
could you create the link for df_tcdxa_t?,link_run_dir.csh $tile $runDir $refDir $tag,14,generic,,,simon1.chen@amd.com
could you link run for df_tcdxa_t?,link_run_dir.csh $tile $runDir $refDir $tag,14,generic,,,
could you link run dir to following dir for df_tcdxa_t?,link_run_dir.csh $tile $runDir $refDir $tag,14,generic,,,
could you link run dir for df_tcdxa_t?,link_run_dir.csh $tile $runDir $refDir $tag,14,generic,,,
could you run the script for df_tcdxi_t?,run_command.csh $tile $runDir $refDir $file $tag,16,generic,,"Hi AI,
could you source the script for df_tcdxi_t?
/home/simchen/aigc/test.csh",simon1.chen@amd.com
could you source the script for df_tcdxi_t?,run_command.csh $tile $runDir $file $tag,17,generic,,"Hi AI,
could you source the script for df_tcdxi_t?
/home/simchen/aigc/test.csh",simon1.chen@amd.com
do you know how to start a run?,"#    You can use following instruction: \n\n Hi AI,\n    could you start a run for $tile?\n",18,consult,,,simon1.chen@amd.com
Please release reroute database.,release_best_run.csh $tile $runDir $tag,20,release,,,simon1.chen@amd.com
what tiles do you own?,report_ownTile.csh $ownTiles $tag,21,report,,"Hi AI,
What tile do you own?",simon1.chen@amd.com
what's your run disk,report_disk.csh $disk $tag,22,report,,"Hi AI,
    what's your run disk?",simon1.chen@amd.com
what is the progress for df_tcdxa_t?,report_runProgress.csh $tile $runDir $refDir $tag,23,report,support quoting mail,,simon1.chen@amd.com
what is the run progress for df_tcdxa_t?,report_runProgress.csh $tile $runDir $refDir $tag,23,report,support quoting mail,"Hi AI,
What’s the run progress for df_tcdxi_t?",simon1.chen@amd.com
sync files,syn.csh $runDir $file $tag,24,update,,,simon1.chen@amd.com
are you online?,"#    Yes, what can I do for you? You can use following instruction to get more assistance: \n\n Hi AI,\n    could you list the instructions?\n",25,consult,,"Hi AI,
     Are you on line?",simon1.chen@amd.com
could you update flow for df_rpt_6_t with following command?,update_flow.csh $tile $runDir $file $tag,26,update,,,
could you update flow for df_rpt_6_t?,update_flow.csh $tile $runDir $file $tag,26,update,,,
could you shmoo the utilization from 0.4 to 0.5 for df_tcdxi_t?,shmoo_utilization.csh $project $tile $runDir $disk $params $tune $digit $file $tag,27,start run,,,
could you shmoo the aspect ratio from 0.5 to 1.5 for df_tcdxi_t?,shmoo_aspectRatio.csh $project $tile $runDir $disk $params $tune $digit $file $tag,28,start run,,,
could you help monitor my run?,monitor_run.csh $refDir $tag,29,generic,,,
what is the congestion status for df_tcdxa_t?,report_congestionStatus.csh $tile $runDir $refdir $tag,30,report,support quoting mail,"Hi AI,
what is the congestion status for df_tcdxi_t?",simon1.chen@amd.com
