branch from FxFpPlaceMacros,1,start run,support quoting mail
branch from FxFpPlaceMacros with following params,1,start run,support quoting mail
TileBuilderBranch  from FxFpPlaceMacros with following params,1,start run,support quoting mail
TileBuilderBranch  from FxFpPlaceMacros,1,start run,support quoting mail
what is the tile status for df_tcdxa_t?,6,report,support quoting mail
what is the status for df_tcdxa_t?,6,report,support quoting mail
could you report the timing for df_tcdxa_t?,7,report,support quoting mail
what is the timing status for df_tcdxa_t?,7,report,support quoting mail
where is the run dir for df_tcdxa_t?,8,report,
where can I find the run dir for df_tcdxa_t?,8,report,
could you send the run dir?,8,report,
could you start a new run for df_tcdxa_t?,12,start run,
could you start a new run with following params for df_tcdxa_t?,12,start run,
could you start a new TB for df_tcdxa_t?,,,
could you start a run  with following params for df_tcdxi_t?,13,start run,
could you start a run for df_tcdxi_t?,13,start run,
could you start a new run for df_tcdxa_t? You can refer to,13,start run,
could you create the link for df_tcdxa_t?,14,generic,
could you link run for df_tcdxa_t?,14,generic,
could you link run dir to following dir for df_tcdxa_t?,14,generic,
could you link run dir for df_tcdxa_t?,14,generic,
do you know how to start a run?,18,consult,
Please release reroute database.,20,release,
what tiles do you own?,21,report,
what's your run disk,22,report,
what is the progress for df_tcdxa_t?,23,report,support quoting mail
what is the run progress for df_tcdxa_t?,23,report,support quoting mail
what is the run status for df_tcdxa_t?,23,report,support quoting mail
could you report the run progress every 2 hours?,23,report,support quoting mail
could you stop report the run progress?,23,report,support quoting mail
sync files,24,update,
are you online?,25,consult,
could you update flow for df_rpt_6_t with following command?,26,update,
could you update flow for df_rpt_6_t?,26,update,
could you shmoo the utilization for df_tcdxi_t?,27,start run,
could you shmoo the aspect ratio for df_tcdxi_t?,28,start run,
could you change the aspect ratio for df_tcdxi_t?,,,
could you help monitor my run?,29,generic,
what is the congestion status for df_tcdxa_t?,30,report,support quoting mail
could you update the params  for df_tcdxi_t?,31,update,
could you add the params  for df_tcdxi_t?,31,update,
could you update the params and rerun the FxCts  for df_tcdxi_t?,32,update,
could you rerun the FxPlace for df_tcdxi_t?,33,update,
could you re-get def for df_tcdxi_t?,,,
could you get def for df_tcdxi_t?,,,
could you rerun getdef for df_tcdxi_t?,,,
could you generate the run dir tree?,34,report,
could you TileBuilderOverwriteCommand for df_tcdxi_t?,35,update,
could you predict the tile congestion?,36,analysis,
could you predict the congestion?,36,analysis,
could you remove the following dir?,37,remove,support quoting mail
what is the disk usage?,38,report,
what is the disk usage for following dir?,38,report,
could you help to check if the following dir exist?,38,report,
could you help to check if the following file exist?,38,report,
could you learn the following issue?,39,learn,
could you help to restart the TB in following dir?,40,start run,
could you help to restart the TB?,40,start run,
could you help to restart run?,40,start run,
could you help to restart the seras?,40,start run,
could you list the instruction?,45,report,
sync flow environment,47,update,
TileBuilderGenParams,48,update,
TileBuilderMake,49,update,
could you help to stop the TB in following dir?,50,stop run,
could you help to stop the TB?,50,stop run,
could you help generate bom.json for df_tcdxa_t?,51,generic,support quoting mail
what is the run time of FxPlace for df_tcdxa_t?,52,generic,
could you submit the def for df_tcdxa_t?,53,generic,
could you take the following assignment?,54,update,
could you update the following assignment?,54,update,
could you update the params to params center?,55,update,
could you update the tune to tune center for FxPlace?,56,update,
could you update the tune file to tune center for FxPlace?,56,update,
could you update the params from params center?,57,update,
could you update the tune from tune center for FxPlace?,58,update,
could you update the tune file from tune center for FxPlace?,58,update,
could you release fp_clean data for df_tcdxa_t?,59,update,
could you release fp_clean for df_tcdxa_t?,59,update,
could you start run and hack sdc?,60,generic,
could you hack sdc?,60,generic,
could you copy def to dir?,61,generic,
could you update the seras environment?,62,update,
TileBuilderUpdateSeras,62,update,
could you show the floorplan map?,63,generic,
could you update the flow file?,64,update,
could you sync the flow file?,64,update,
could you sync the version?,64,update,
could you sync?,64,update,
could you check the clock overlap with mem?,65,check,
could you show TB console for df_tcdxa_t?,66,generic,
could you stop monitor df_tcdxa_t?,67,generic,
could you stop vto monitor?,67,generic,
could you start vto monitor,68,generic,
could you add the command to tune/FxFpStreamOut/FxFpStreamOut.tcl ,69,generic,
could you add the option to tune/FxFpStreamOut/FxFpStreamOut.tcl ,69,generic,
what is current job?,70,LSF,
could you show job?,70,LSF,
could you kill the job?,71,LSF,
could you copy the sdc to following dir?,72,generic,
could you copy the sdc to?,72,generic,
what is the release status for df_tcdxa_t?,73,report,
what is the flow issue  for df_tcdxa_t?,74,report,
what is create_context_for_sub_block?,75,report,
could you try following tool version?,76,update,
could you try following version?,76,update,
could you get sdc?,77,rerun,
impact tiles,78,memory graph,
could you remove params for df_tcdxa_t?,79,generic,
what is the frequency for df_tcdxa_t?,80,report,
what is the utilization for df_tcdxa_t?,81,report,
what is the vt ratio for df_tcdxa_t?,82,report,
could you update the argument?,83,update,
