tile	FxSynthesize (hours)	FxFpPlaceMacros (hours)	FxPostFloorPlan (hours)	FxPlace (hours)	FxCts (hours)	FxOptCts (hours)	FxRoute (hours)	FxOptRoute (hours)	FxReRoute (hours)
dcn_*	NA	0.11~0.17	0.3~0.4	0.81~2.39	0.37~3.13	1.25~5.84	0.47~1.66	0.54~3.34	1.16~29.1
df_cs_*	NA	NA	NA	NA	9.55~9.55	25.14~25.14	29.5~29.5	17.92~33.2	11.02~18.11
df_el3_*	NA	0.13~0.16	0.23~0.31	1.02~1.3	1.0~1.06	1.13~2.44	0.69~0.92	1.07~1.54	2.08~2.94
df_mall_*	NA	NA	NA	NA	NA	NA	NA	34.54~35.61	11.21~17.63
df_rpt_*	NA	0.13~0.39	0.26~4.42	1.1~12.5	0.54~12.34	1.96~11.96	0.9~17.23	1.02~10.82	1.73~28.03
df_tcdx_*	NA	0.2~0.28	0.32~0.39	4.02~18.06	1.81~4.45	5.05~20.95	2.9~8.13	7.54~19.53	0.51~16.36
(mmhub_|athub_).*	NA	NA	NA	NA	4.65~4.65	15.61~15.61	7.63~10.02	18.59~20.88	0.01~15.95
(nbio_|cip_|pcie_).*	NA	0.29~0.29	0.62~0.62	3.54~10.73	2.72~18.38	5.89~32.38	3.26~10.61	5.22~50.44	5.88~45.23
smu_*	NA	0.12~0.34	0.24~2.38	0.85~6.08	0.53~6.35	1.2~9.96	0.02~6.99	0.64~8.87	1.64~24.2
umc_*	NA	NA	NA	NA	10.21~10.21	13.04~13.04	5.3~5.3	9.76~9.76	19.1~26.6
vcn_*	28.51~30.15	NA	1.32~2.48	3.39~21.13	3.11~12.9	3.9~53.65	3.27~18.41	3.63~36.61	0.04~30.44
vdci_*	NA	0.1~0.23	0.32~0.8	0.99~9.53	0.39~3.19	1.68~11.7	0.52~3.27	0.86~5.19	0.77~5.33
channel_*	NA	0.11~0.14	0.37~0.4	0.71~3.78	0.61~2.57	1.22~9.07	0.32~5.3	0.6~3.46	1.17~9.4
dfx_*	NA	0.26~0.26	0.31~0.31	3.08~3.08	1.27~3.52	2.01~3.08	0.66~1.3	1.91~3.44	0.98~2.63
io_*	NA	0.12~0.15	0.21~0.58	1.27~1.91	0.54~2.42	1.81~3.14	0.75~1.51	0.61~2.99	3.06~13.21
soc_*	NA	NA	NA	2.46~2.46	2.36~3.2	5.27~6.65	2.72~3.72	4.01~4.92	4.07~6.05
cdci_*	NA	0.13~0.13	0.24~0.24	1.69~1.69	1.64~1.64	2.94~2.94	0.68~0.68	2.63~2.63	0.94~0.94
oss_*	NA	NA	NA	NA	NA	NA	NA	NA	11.21~11.21
all_tile_range	28.51~30.15	0.1~0.39	0.21~4.42	0.71~21.13	0.37~18.38	1.13~53.65	0.02~29.5	0.54~50.44	0.01~45.23
